Season,TeamID,FirstDayNum,LastDayNum,CoachName,Coach Tenure
1985,1102,0,154,reggie_minton,16
1985,1103,0,154,bob_huggins,33
1985,1104,0,154,wimp_sanderson,13
1985,1106,0,154,james_oliver,11
1985,1108,0,154,davey_whitney,12
1985,1109,0,154,freddie_goss,1
1985,1110,0,154,ed_tapscott,6
1985,1111,0,154,kevin_cantwell,2
1985,1112,0,154,lute_olson,24
1985,1113,0,154,bob_weinhauer,1
1985,1114,0,154,mike_newell,9
1985,1116,0,154,eddie_sutton,22
1985,1117,0,154,nelson_catalina,11
1985,1119,0,154,les_wothke,6
1985,1120,0,154,sonny_smith,14
1985,1121,0,154,marvin_vanover,2
1985,1122,0,154,howard_jackson,1
1985,1123,0,154,al_brown,3
1985,1124,0,154,jim_haller,1
1985,1126,0,154,cy_mcclairen,9
1985,1129,0,154,bobby_dye,11
1985,1130,0,154,gary_williams,27
1985,1131,0,154,john_kuester,6
1985,1132,0,154,john_weinert,2
1985,1133,0,154,dick_versace,2
1985,1134,0,154,mark_reiner,6
1985,1135,0,154,mike_cingiser,7
1985,1137,0,154,charles_woollum,16
1985,1139,0,154,joe_sexson,5
1985,1140,0,154,ladell_andersen,5
1985,1141,0,154,dick_parfitt,1
1985,1143,0,154,dick_kuchen,14
1985,1144,0,154,jerry_smith,1
1985,1145,0,154,nick_macarchuk,21
1985,1147,0,154,tommy_canterbury,5
1985,1149,0,154,tommy_gaither,7
1985,1150,0,154,hal_wissel,1
1985,1151,0,154,murray_arnold,8
1985,1152,0,154,bob_hallberg,12
1985,1153,0,154,tony_yates,5
1985,1154,0,154,les_robinson,12
1985,1155,0,154,cliff_ellis,31
1985,1156,0,154,kevin_mackey,6
1985,1159,0,154,tony_relvas,2
1985,1160,0,154,tom_apke,12
1985,1161,0,154,tony_mcandrews,3
1985,1162,0,154,wayne_szoke,14
1985,1163,0,154,dom_perno,2
1985,1165,0,154,tom_miller,9
1985,1166,0,154,willie_reed,1
1985,1168,0,154,george_mcquarn,4
1985,1171,0,154,paul_cormier,20
1985,1172,0,154,bobby_hussey,7
1985,1173,0,154,don_donoher,5
1985,1174,0,154,ron_rainey,1
1985,1175,0,154,joe_dean_davidson,1
1985,1177,0,154,joey_meyer,13
1985,1178,0,154,don_sicko,4
1985,1179,0,154,gary_garner,13
1985,1180,0,154,eddie_burke,7
1985,1181,0,154,mike_krzyzewski,34
1985,1182,0,154,jim_satalin,5
1985,1183,0,154,rick_samuels,21
1985,1184,0,154,max_good,12
1985,1185,0,154,jim_boyce,2
1985,1186,0,154,jerry_krause,1
1985,1187,0,154,charlie_harrison,3
1985,1190,0,154,barry_dowd,1
1985,1191,0,154,dick_walters,1
1985,1192,0,154,tom_green,25
1985,1193,0,154,terry_o'connor,1
1985,1196,0,154,norm_sloan,5
1985,1197,0,154,willie_booker,9
1985,1199,0,154,joe_williams,2
1985,1200,0,154,thomas_penders,23
1985,1201,0,154,tiny_grant,6
1985,1202,0,154,jene_davis,1
1985,1203,0,154,gerry_gimelstob,1
1985,1204,0,154,frank_kerns,10
1985,1206,0,154,joe_harrington,12
1985,1207,0,154,john_thompson_jr,15
1985,1208,0,154,hugh_durham,19
1985,1209,0,36,tom_pugliese,1
1985,1209,37,154,mark_slonaker,12
1985,1210,0,154,bobby_cremins,22
1985,1211,0,154,jay_hillock,3
1985,1212,0,154,fred_hobdy,2
1985,1215,0,154,dick_danford,4
